        kata       rags	days-old
will rm A9FED8180F 43	29
will rm 1F8C4BC8B2 43	426
will rm C481FEF1C8 43	91
will rm C46EB74341 43	413
will rm 7C70A86D62 43	217
will rm 127E8E1264 43	99
will rm DF896236A2 43	307
will rm DF4AAC752F 43	435
will rm DF0FB7FFCF 43	59
will rm 29C4395B54 43	350
will rm 41309F06C4 43	149
will rm 1CBC0F8AD4 43	222
will rm B2C39237A5 43	119
will rm 322B05BB0A 43	245
will rm C2132FED65 43	310
will rm 3590F7863C 43	15
will rm 3535342CB8 43	298
will rm 46A51F7F33 43	432
will rm CD8F80D070 43	110
will rm 530061CBE9 43	194
will rm 2EAE391EEF 43	85
will rm DA365F95CF 43	136
will rm 4F4E63B66F 43	81
will rm 1DBC987099 43	232
will rm 52FFB38ABA 43	129
will rm E4093E4060 43	120
will rm A6C1334507 43	67
will rm A641C7EF33 43	335
will rm 2F52A7AAFE 43	100
will rm C645C7A831 44	367
will rm 5F7F54C478 44	475
will rm 3747D785AE 44	400
will rm 4AFC6B3645 44	230
will rm 6427AD430D 44	264
will rm E67F6603BE 44	277
will rm AF5FA5FAA9 44	207
will rm A566D76A03 44	197
will rm A56C96BB92 44	31
will rm 1F979F8F9B 44	434
will rm 1F408A97CA 44	278
will rm F26381ED1A 44	182
will rm 26387E5600 44	422
will rm 12E1BBC037 44	331
will rm 16FB5046B0 44	431
will rm 675EDA871D 44	325
will rm D0ECF506DA 44	251
will rm 4195BD39C5 44	406
will rm AA7809A1A8 44	235
will rm 101C86AF6B 44	197
will rm 22D2C85B90 44	429
will rm ABB7A15638 44	38
will rm B864D4E32B 44	235
will rm 7B2767DB5B 44	110
will rm 40131BDA7B 44	448
will rm 35DFCEFE4E 44	474
will rm 34E5085A4C 44	161
will rm ACCC9F7254 44	21
will rm F78C60CC85 44	90
will rm 9044862D35 44	128
will rm 54FB5612C3 44	362
will rm 4F869358F0 44	424
will rm 6356BB8BEA 44	348
will rm F87534F904 44	96
will rm E419C22EF3 44	287
will rm 567A1FDBD5 44	203
will rm B00202C0BB 44	358
will rm 8B9759FC0E 44	430
will rm 9DBB6E6828 44	181
will rm FB439A2A50 45	258
will rm 7489CAB0BF 45	389
will rm 74D971AAB1 45	372
will rm 618DD68080 45	134
will rm E1F30D75EF 45	135
will rm 1AB055252B 45	373
will rm 0F82D4BA89 45	392
will rm EA454B7357 45	310
will rm D08B037027 45	50
will rm 834F7F54AB 45	117
will rm 70A8603D28 45	56
will rm A0C4EC45F2 45	23
will rm B8BA69CED4 45	470
will rm BC1CC47B84 45	175
will rm 736949B7AE 45	176
will rm 09BA72A88C 45	32
will rm 8932861719 45	59
will rm 3EB8BA9E37 45	322
will rm AD140A4DA4 45	313
will rm 342C78D9B9 45	96
will rm 46A05FB7E4 45	74
will rm C19975EF36 45	326
will rm D4AA67104B 45	292
will rm CC29A21156 45	145
will rm 4F27FC0251 45	264
will rm 52491671D4 45	173
will rm 639826BFF8 45	90
will rm F822EB1734 45	264
will rm B52023058C 45	283
will rm B51B5C69D8 45	54
will rm B0122BB66F 45	358
will rm 7E99B495D6 45	431
will rm 72F25D2183 46	361
will rm 82AA8288D4 46	250
will rm F95AB9419B 46	136
will rm 86AE5A3A41 46	363
will rm E917305C7C 46	412
will rm 6CC3E183E2 46	105
will rm D66AFF3388 46	329
will rm 58DB0ADF32 46	154
will rm FA698E87F8 46	119
will rm C8948EB760 46	333
will rm 92A9A8EB01 46	179
will rm EDA9D94815 46	230
will rm 26F4320E02 46	59
will rm 47A396D5F2 46	281
will rm 4B5623FB06 46	306
will rm 5E15AF5485 46	109
will rm DF3541BD15 46	241
will rm 68F4740556 46	100
will rm 68D7889F06 46	207
will rm E0E2F73DAB 46	453
will rm 229B7E9C34 46	59
will rm 184D524DB8 46	57
will rm 359827551C 46	95
will rm 467E79D22E 46	430
will rm 46D1DD4300 46	380
will rm CDF7354F4F 46	108
will rm CD6FC41518 46	428
will rm 33BF369A31 46	359
will rm 4F134A7481 46	288
will rm D2CB30A6C0 46	467
will rm 38F20B5E51 46	382
will rm 2190D0A62A 46	284
will rm 2CA4239C9B 46	114
will rm 5F05D3EEDB 47	131
will rm 5B47DD0DC5 47	370
will rm 5B619D3D6A 47	88
will rm 1FE37C6949 47	370
will rm 79E6F302BF 47	22
will rm 7D3896DE72 47	463
will rm 512E6FA47C 47	289
will rm D10D3842D1 47	104
will rm 9653BEB4E0 47	120
will rm 4D5B1AF887 47	59
will rm A0840BF36E 47	423
will rm 1BF6D0EB5D 47	95
will rm AC49F5989D 47	214
will rm CBAE6A9DF8 47	436
will rm B93BF6924A 47	323
will rm 60D203A927 47	125
will rm 6365A0F335 47	145
will rm 17DB17D5E2 47	264
will rm 7EA77B4561 47	305
will rm 8FC47D9D5F 48	167
will rm 4CC7347015 48	328
will rm 71294D2C7E 48	60
will rm 88AF69289C 48	14
will rm 3983D7EEF2 48	59
will rm 6E71EBE86B 48	348
will rm E96237F502 48	82
will rm E9ED8951E3 48	144
will rm 4AC03DEC2B 48	36
will rm 74C8B3EF08 48	146
will rm D6599E807D 48	296
will rm 80F571D3E3 48	331
will rm 51BB653495 48	237
will rm 162E07A6A8 48	26
will rm 764EAC2F0D 48	98
will rm 76AB44F324 48	209
will rm 2A1BED8379 48	462
will rm C7775ACD40 48	423
will rm CE21BB78F4 48	107
will rm E8EF1A2B09 48	50
will rm 1CCB6C662A 48	450
will rm 04ECCC4A39 48	210
will rm 460F70DD24 48	22
will rm 6D84EB40AE 48	124
will rm DE5574A46A 48	425
will rm D2264D7001 48	122
will rm E5C0169AE4 48	26
will rm 0C7F141F5C 48	219
will rm 1381F21CFD 48	96
will rm 13A67AEBF3 48	289
will rm 9D28219E49 48	348
will rm 85CBCC7BA6 49	132
will rm DD5CD9195E 49	236
will rm E6B2C89D60 49	451
will rm C4312717CE 49	63
will rm 168C625FC6 49	30
will rm 963A87328F 49	277
will rm CE105FC97F 49	151
will rm F1FC12E5DA 49	154
will rm D0847A3C01 49	110
will rm 41FC60AA5C 49	206
will rm D8F5C3BBD3 49	59
will rm A1B144F409 49	315
will rm FC4D6257FE 49	311
will rm C21F67AD79 49	461
will rm 7B2F826860 49	75
will rm 9791626AA5 49	145
will rm 9FE653CF45 49	126
will rm 5303B0A771 49	337
will rm DA426A66F2 49	467
will rm 438D3179CF 49	452
will rm 0043023268 49	235
will rm F555ECB3E4 49	472
will rm 06CB4C9C0E 49	95
will rm 2C7DDCE99E 49	221
will rm B08D611891 49	468
will rm 9DB7367EB5 49	224
will rm 8F0816A8AC 50	461
will rm 8242D0682F 50	369
will rm 946D4304FF 50	310
will rm 0522E56216 50	356
will rm 37F7C5DD65 50	393
will rm DB9C7FCABE 50	198
will rm 3D57847C26 50	393
will rm 16009BA8C2 50	34
will rm 5EA8D170D4 50	181
will rm DE4FCB0566 50	382
will rm D2481EA2DC 50	127
will rm 8CC1CF0942 50	426
will rm EFA511B3E8 50	439
will rm E5017FE65F 50	389
will rm 2FCC2C8EBF 50	61
will rm 8F78CD2FFA 51	349
will rm 5F55BB74B2 51	72
will rm 39EF79FD41 51	333
will rm 7ACA91F1E6 51	358
will rm 6187373F3F 51	93
will rm 61B7B9F847 51	455
will rm 67E7FC952B 51	145
will rm 67F357D015 51	205
will rm D024DB45A9 51	357
will rm 83AC761A02 51	196
will rm E08C3F0396 51	372
will rm 9CFF7CF34D 51	387
will rm ABE40EBAF6 51	218
will rm 8967E7E5DF 51	133
will rm 984E216772 51	286
will rm 147FD7567F 51	19
will rm BFC58B1D89 51	265
will rm DB30BE70E7 52	132
will rm 746344EEB2 52	42
will rm 0DCAF398F2 52	66
will rm 8035A39498 52	84
will rm 7C4F263470 52	119
will rm 479FA4FE07 52	397
will rm 673C6D7BEE 52	97
will rm 4D51A034D8 52	424
will rm 31B9583BD0 52	224
will rm 9147B40235 52	394
will rm 1B845B940B 52	52
will rm AE6EF3D0F0 52	212
will rm F71731B100 52	51
will rm 000BC11203 52	385
will rm 8A8CB11AAD 52	99
will rm 56AC90A1D4 52	453
will rm B478E17F05 53	145
will rm 014DBC9609 53	335
will rm 2695D650C4 53	383
will rm BE229E1550 53	250
will rm E16FC16163 53	358
will rm EE7D5A184B 53	125
will rm 29AFBD6B1E 53	302
will rm D0A68EC816 53	339
will rm 1053578385 53	131
will rm 8767487E66 53	155
will rm F4C63E1E7E 53	14
will rm C32501A427 53	114
will rm CB30CC2240 53	117
will rm 2ED5D421AC 53	59
will rm DA2E9DBFCF 53	363
will rm D5603EADDC 53	324
will rm 4CC422B336 54	436
will rm 822315987E 54	126
will rm B454C50B2C 54	441
will rm DD246EEDA3 54	184
will rm 24CA86C467 54	442
will rm 4E8B839649 54	164
will rm FAB1CAB328 54	107
will rm 79B9B92822 54	22
will rm 512346B210 54	39
will rm FDD9FA7277 54	461
will rm 68746C6DAF 54	474
will rm CE06AD9214 54	92
will rm 7329F4B9E4 54	53
will rm 40EB37EBF3 54	433
will rm 460539F98A 54	152
will rm 147F34C181 54	370
will rm 149C6098BE 54	230
will rm 902455DFAC 54	116
will rm CCAB5348F5 54	135
will rm EFB7863BC8 54	252
will rm F38A58942A 54	188
will rm B6B88D13EE 54	94
will rm B565317AFF 54	436
will rm A674744DC6 54	108
will rm 945D6F4B53 55	176
will rm E9B36FEE0E 55	151
will rm 4A5F01CE13 55	404
will rm E136D62E0F 55	143
will rm 764C76EEC5 55	59
will rm FCCC6EE623 55	170
will rm AC214F055A 55	363
will rm 5510EE19AF 55	287
will rm 56EC3369AA 55	307
will rm 6AAA7BDF5B 56	273
will rm 6266335099 56	198
will rm C493E6422C 56	153
will rm D18C855225 56	176
will rm 16085E73D2 56	132
will rm 76474961F0 56	357
will rm 32BC26124E 56	190
will rm 342334E4C3 56	252
will rm E29AEEB455 56	52
will rm 2EBA144C74 56	258
will rm 3384928A0E 56	119
will rm B52F9672C5 56	197
will rm A6F0783615 56	231
will rm 05E4369D6F 57	177
will rm 7A3DD3CAE5 57	70
will rm 6CECCCC7A1 57	344
will rm 810E7B7F6F 57	224
will rm 5C026035E4 57	60
will rm 6A65866542 57	81
will rm A56148CCCC 57	219
will rm 0F53D5BD9B 57	154
will rm 085591B663 57	180
will rm 418F85BB51 57	378
will rm E01AE5AE2D 57	430
will rm B8C5281197 57	155
will rm 732FE17297 57	15
will rm 341ACAFEA6 57	107
will rm C32A7483D6 57	416
will rm 5535ECF16B 57	56
will rm F736EF4960 57	363
will rm 1D26A10332 57	347
will rm EFB89A82C1 57	240
will rm 3A98ACFB8D 57	242
will rm 0CF2578851 57	319
will rm 23B112DB62 57	294
will rm 27AA5F1EBC 57	211
will rm 0E42DB5068 57	52
will rm C64317E714 58	440
will rm 78610897A8 58	59
will rm DB780615E0 58	358
will rm AFD110BB70 58	165
will rm 6A0DE0D747 58	360
will rm 5B1A787244 58	145
will rm 7D7A6D2584 58	207
will rm 47AAD303C5 58	442
will rm 84F1F68411 58	84
will rm 4BBC852112 58	84
will rm 682C2FB138 58	295
will rm 9CDC08E900 58	179
will rm 7369A6444C 58	315
will rm 0775DD073E 58	89
will rm 0AD6BFEFA9 58	160
will rm 98FC9995C5 58	477
will rm F721510DD2 58	90
will rm 1D2B2A27E5 58	37
will rm CABDEE0607 58	32
will rm B6314C76D9 58	133
will rm 2182237CE1 58	159
will rm 717A7AF2DB 59	119
will rm 78A642607D 59	403
will rm E98CD24503 59	357
will rm 9B751DBB5E 59	330
will rm 24D8905C46 59	358
will rm E1A9A4D81D 59	312
will rm EA68C2B34D 59	377
will rm 67AD609314 59	461
will rm 08A1205AF9 59	374
will rm E718D3BBF1 59	119
will rm 9CD680F612 59	36
will rm 73D39B9A3C 59	334
will rm 3A643BFE54 59	426
will rm F3FE3B0227 59	358
will rm 5245B890A2 59	431
will rm 8E9F8FCC24 59	332
will rm E544659524 59	343
will rm 6BA87079B2 59	158
will rm 38146EE63B 59	378
will rm 2FA8257E96 59	197
will rm B02AB2DF3C 59	200
will rm 4C4CE787C1 60	404
will rm 4C3A489A5E 60	194
will rm 3717247FBF 60	209
will rm 5C72F77EFC 60	358
will rm 4E18A7E580 60	55
will rm 9546E72E6D 60	161
will rm 0746E4BF4C 60	452
will rm 984EAE5BFF 60	385
will rm CCE74E9FA6 60	218
will rm 43AED2F0DD 60	412
will rm 5DCE271777 60	66
will rm B5FDBB84EE 60	208
will rm 176F23E7BC 60	435
will rm 13A5456467 60	441
will rm 65E48663EB 60	358
will rm 82A2C0A911 61	232
will rm 5830E6D0EF 61	298
will rm AF387AC452 61	33
will rm 80F2849A56 61	356
will rm 6155A386E2 61	294
will rm 4711137EB6 61	264
will rm 16768ECA57 61	159
will rm CE21B1632A 61	308
will rm A1410057ED 61	285
will rm B2EE1CECCB 61	382
will rm A0AA188C95 61	117
will rm B8C7919FE8 61	374
will rm 07F8331FF4 61	89
will rm EC4C88BCD5 61	271
will rm CDDAD4D17B 61	137
will rm 7F2E4E6D42 61	211
will rm 147F445C85 61	424
will rm D471A02C2A 61	100
will rm D4D6CFA11E 61	138
will rm 90FF8F1012 61	359
will rm 57915537DD 61	205
will rm F863C2E7F9 61	428
will rm A6A5110130 61	256
will rm 56183B2C1F 61	144
will rm 9D05CB70DE 61	402
will rm DD027BC136 62	250
will rm DD78B29024 62	57
will rm D73174A861 62	87
will rm 59E248C63B 62	55
will rm D1744B48E2 62	148
will rm 2210C707ED 62	97
will rm CB82291CA3 62	234
will rm E277F2990F 62	460
will rm BDDBF4201B 62	258
will rm 8D0366BFD8 62	251
will rm E524F62602 62	55
will rm E5F7A831ED 62	285
will rm 38063B2605 62	39
will rm B0FC11A649 62	41
will rm E9C44B1A07 63	151
will rm 9933871936 63	110
will rm 6A5E4458C3 63	267
will rm 8033F9C290 63	246
will rm E122259870 63	234
will rm EAB16B443F 63	63
will rm 77F53E837E 63	212
will rm 7325D01914 63	213
will rm A69A6CDCA0 63	168
will rm A6AE85B1FA 63	180
will rm 8A1325F8A3 63	461
will rm 4C8EF1F8EF 64	226
will rm 3D0A6518C1 64	258
will rm 1F4D245E28 64	248
will rm 7D2EB32EB2 64	52
will rm 5E791BB472 64	354
will rm 20191C6171 64	142
will rm EC86B6E957 64	471
will rm D4BF37C0FB 64	145
will rm 9095E84F91 64	40
will rm D2CAF6808B 64	110
will rm 578FB57878 64	245
will rm B56C2A9FE3 64	117
will rm 6F5D64F434 65	252
will rm 2B2BEDA460 65	356
will rm DD37763F61 65	149
will rm 4AF6F680B5 65	285
will rm FDBC4EEA75 65	320
will rm 6732B00476 65	358
will rm 4114936EA5 65	152
will rm B2F3608199 65	122
will rm B2834EAF97 65	397
will rm 95C7935A17 65	94
will rm BCD505A8C8 65	448
will rm 0AA808D7FD 65	106
will rm D566688E25 65	267
will rm 8EE4AFE445 65	434
will rm 6B06ACA5F0 65	299
will rm 171154FC2F 65	355
will rm 1720BB85BD 65	252
will rm EBAFD05578 66	366
will rm D6AEF8A2A1 66	155
will rm 514BD8976D 66	160
will rm 9AD48547CC 66	102
will rm 3612C3B1E6 66	68
will rm C16F4F416C 66	130
will rm 52D02DDA25 66	142
will rm 5765977BFC 66	179
will rm 17FEE14800 66	438
will rm C55137983C 67	273
will rm 367B6155BD 67	321
will rm 36CADD4664 67	202
will rm 28BF408226 67	438
will rm 8E2F95F345 67	474
will rm A41B28349B 67	133
will rm 80161A5D53 68	292
will rm 9ACC52DAB2 68	153
will rm 4894F790E5 68	211
will rm B1854CF6AE 68	429
will rm 099E70F519 68	328
will rm D2CF9DCB8B 68	272
will rm 44722587B4 68	22
will rm EBD2DF0B32 69	267
will rm 241A2DB449 69	113
will rm 9A5893AD34 69	249
will rm 5E445F9634 69	215
will rm 9C33AE8E54 69	201
will rm AB4F30C475 69	350
will rm C30744BAE3 69	270
will rm F7DCC4E1C6 69	125
will rm 19FF2C22F7 69	209
will rm 5730B33487 69	251
will rm B7C823FABC 69	109
will rm 2BD16B88EB 70	211
will rm 6AC2FDDD3D 70	160
will rm C4112CC9AB 70	80
will rm F260416CAB 70	285
will rm 4B4129734C 70	434
will rm 2A85C9B996 70	399
will rm 004249DC35 70	103
will rm 6B8C938A4F 70	202
will rm 56DCD3AB38 70	430
will rm 134FC9285E 70	27
will rm 64EF2E54B7 71	112
will rm 809E940056 71	417
will rm 03A20B981D 71	294
will rm 5E187C4678 71	349
will rm 2A916AAF16 71	18
will rm 2A9E425774 71	136
will rm 29B005822D 71	184
will rm 29051C5441 71	123
will rm 7747A18FE0 71	355
will rm 32166F18F0 71	97
will rm 3452887D86 71	331
will rm 2D17F47F42 71	322
will rm 37FFA5ACC7 72	119
will rm 6193A1664B 72	81
will rm 0394058BAD 72	82
will rm D0C60A6899 72	96
will rm B8F4DAC756 72	39
will rm 7B661DC514 72	443
will rm 461D9ACED0 72	155
will rm 904FA92305 72	69
will rm 8A8259CEDE 72	57
will rm 2CEA4BABDB 72	148
will rm BB2949169A 73	211
will rm 6152D9F290 73	228
will rm 7DF9DD5107 73	369
will rm 7BC294DD70 73	357
will rm 3E44BC2EC0 73	202
will rm 2D21EF1E98 73	186
will rm B660F0E3C0 73	176
will rm E44C5ED4D4 73	362
will rm 5F755682E8 74	155
will rm B4190C2C4A 74	354
will rm 6E49F7FB99 74	407
will rm C01A7B2B20 74	398
will rm 5C528FD700 74	461
will rm 0D92811B8F 74	21
will rm 2ADC17EF77 74	215
will rm CECC28BF87 74	447
will rm F3EA355236 74	208
will rm C020D45469 75	238
will rm AF8BF7F28C 75	380
will rm 62CC8F0C6C 75	59
will rm 7D1A53CF61 75	208
will rm F038DC0855 75	229
will rm EAEFB62115 75	307
will rm BABDBE10D9 75	112
will rm 4899BB396D 75	456
will rm 91637A56BD 75	335
will rm 7B3CD85466 75	399
will rm DE5CD2362A 75	312
will rm 21DE7273A7 75	79
will rm 214469F93A 75	224
will rm A436FF8C25 75	351
will rm 0EC3C66144 75	291
will rm 8BD86F1627 75	113
will rm 429BCD4E1C 76	89
will rm DDF4206929 76	411
will rm 6417820EAB 76	236
will rm 806589487F 76	328
will rm 128A2DD473 76	421
will rm EA0F417261 76	417
will rm 1B057D82AE 76	182
will rm A3EAA13633 76	255
will rm FB1D82FBD8 77	104
will rm C8810E8ED3 77	244
will rm 7B983FFD89 77	266
will rm 1B57175369 77	253
will rm 55784CF6BB 77	160
will rm E3A61217F2 77	357
will rm 60603D6C1E 77	204
will rm 9EE4B8F82A 77	176
will rm 2F56D73B15 77	130
will rm 943AF1BCE2 78	327
will rm 3B79B02328 78	386
will rm 03A449F0B7 78	96
will rm BC914BD873 78	89
will rm C3C166F15B 78	230
will rm AC90E4E427 78	422
will rm DE8FC2C085 78	182
will rm F92333ACF3 79	138
will rm EBBC55D826 79	351
will rm 84061C462E 79	235
will rm 9608C32F57 79	159
will rm AC59FFB8E3 79	341
will rm F797E872A7 79	178
will rm D2D71964F3 79	423
will rm 8CA5A3042F 79	219
will rm 5C1431CE84 80	134
will rm C4F8F83F62 80	167
will rm D93DD3CD41 80	180
will rm 95E0EBF6FE 80	225
will rm E214FF410A 80	283
will rm C9B258127B 80	436
will rm 1929D99D54 80	185
will rm F5C70D6417 80	138
will rm 567EEB47A4 80	439
will rm 80E1B31593 81	436
will rm 7D213656E9 81	469
will rm ED3D94E873 81	21
will rm 47F57838C3 81	419
will rm CE7472B87E 81	310
will rm AF76721857 82	267
will rm 26AD915A4F 82	305
will rm B32E016538 82	263
will rm D20B20EEAC 82	114
will rm 4B917F140E 83	440
will rm E737CE421B 83	357
will rm 878C53378B 83	370
will rm 3ED1BDD40E 83	343
will rm CF5BB342C0 83	325
will rm F5B0AA91FA 83	66
will rm FE5CEBD36B 83	356
will rm 44652EB30B 83	94
will rm DCDAB6A7B6 84	225
will rm 9B935D18BC 84	464
will rm 74B552C620 84	430
will rm 3B4FF9F2BF 84	67
will rm 1A4B43E0D8 84	193
will rm 0F9ADAFF2B 84	34
will rm BAC278EDF2 84	388
will rm 73B4C58023 84	247
will rm CDEAC34225 84	349
will rm 36D98DFB7B 84	343
will rm D51D595BDB 84	144
will rm DBBAA69CA0 85	299
will rm C30119394B 85	400
will rm CDBB1145D6 85	385
will rm CF2A8CBEE5 85	132
will rm D5E1D773B5 85	382
will rm FE8321FFB1 85	181
will rm 6CC7CC942F 86	62
will rm 9FD5CB5395 86	137
will rm 1D3F71C13B 86	198
will rm EF5C6FB314 86	439
will rm 2CE816696A 86	211
will rm 0E15D3E798 86	343
will rm 8B5B1A127C 86	444
will rm 9DA3865C7F 86	434
will rm 8F359AF603 87	314
will rm 5391ACCE34 87	232
will rm 00D466352A 87	293
will rm 6B9F75BA39 87	64
will rm 41CA8C1E9D 88	439
will rm D81A130E14 88	155
will rm 9EE6FD492B 88	363
will rm A439B0E94A 88	380
will rm 27C7995A42 88	132
will rm EB6389C96C 89	228
will rm E60A213344 89	25
will rm 34288CA204 89	166
will rm 3A815779D9 89	350
will rm FE7101C1BD 89	118
will rm 65EB341ECF 89	380
will rm 82F753BE99 90	474
will rm 826D68E3BE 90	332
will rm 2B44B792DE 90	108
will rm D3CA614F93 90	252
will rm 163B8A8FC1 90	279
will rm 04D0C32F55 90	180
will rm F880556C8D 90	349
will rm A6FB28BB82 90	55
will rm 79E18EE4A0 91	57
will rm 028FE32086 91	331
will rm 4858056F43 91	440
will rm FCF4E403AD 91	100
will rm 537D2B08FE 91	223
will rm F8DFA7AADF 91	378
will rm A4B71E944D 91	170
will rm 71B8C71227 92	113
will rm 6E3AE5F83F 92	186
will rm E65B6C87F7 92	120
will rm DFCF2D8A8B 92	29
will rm DFD302FE60 92	22
will rm 3C2E53CE8D 92	253
will rm DEC4FF41C5 92	384
will rm EFDAD6C61D 92	356
will rm 27263D6E93 92	250
will rm E628C1F1AC 93	263
will rm 3DB845DACF 93	14
will rm C4D74CE482 93	285
will rm E839F32533 93	393
will rm 752F9A776B 93	286
will rm C2826EC606 93	277
will rm CD39B26347 93	250
will rm 389CAB302A 93	89
will rm 0E7947B57E 93	62
will rm 864EE3AEE9 94	298
will rm 4ABF65CA10 94	197
will rm 25AC2E7EC5 94	153
will rm 9A016A1D8A 94	151
will rm DFDB32D26B 94	433
will rm BA88635C43 94	181
will rm A1F81619C3 94	19
will rm AC0B13D105 94	249
will rm D252AB8E1C 94	205
will rm 3130984564 95	467
will rm 7336002039 95	357
will rm 9F1D7126B9 95	50
will rm 285A48F744 95	103
will rm 3ACCD68650 95	243
will rm B51A1F584A 95	206
will rm 0594E0976B 96	136
will rm 39F3F270B5 96	148
will rm 5010A6C422 96	145
will rm 584BDAE36C 96	468
will rm AF637FD1F4 96	364
will rm 25EB3E7DAC 96	169
will rm AE669784E6 96	475
will rm 9E2DD073D9 96	250
will rm 2F0F94EECC 96	134
will rm 937BEE5E9A 97	323
will rm 73A9CD7F20 97	380
will rm 60259C1DEB 97	180
will rm 219B773E24 97	386
will rm 56213C2349 97	362
will rm 37D6BC4BC2 98	179
will rm 4D7D376CD4 98	103
will rm 48FF926D1A 98	180
will rm BCC020BE1F 98	434
will rm 2FF800474D 98	308
will rm 1781AC8BED 98	335
will rm 429FBA0276 99	358
will rm 9C9C22F05C 99	440
will rm 0E34D78109 99	181
will rm FB31E8E210 100	285
will rm D64585A1CC 100	146
will rm A50C62CD84 100	404
will rm 87E58DBAF4 100	382
will rm 616C44D788 101	151
will rm F6CBCF786A 101	355
will rm F19CC36D13 101	331
will rm 97ABD758D9 101	92
will rm 8295DE62AC 102	112
will rm 39578EE5DC 102	443
will rm 62286E49BA 102	186
will rm D35557EC50 102	145
will rm 6812F1B9BB 102	455
will rm 31BD6B3898 102	71
will rm 91E1ECEA19 102	15
will rm 1B7D5719EE 102	50
will rm CAE710DB1F 102	273
will rm B62D1936B2 102	392
will rm 648964A776 103	65
will rm C4AB5BD141 103	208
will rm D744BB0D66 103	374
will rm 51408DF041 103	250
will rm 4B398CAB08 104	346
will rm 2E1EC03FD5 104	142
will rm 3A92DC1BCC 104	57
will rm B7F69D9BDB 104	476
will rm F595B815F9 104	84
will rm 5EFD74B6BA 105	95
will rm F00615AD58 105	320
will rm 43E9F98525 105	377
will rm 0C0EC58E35 105	233
will rm 718BC8FFAC 106	91
will rm B64138DC34 106	377
will rm 1E5B003969 106	377
will rm 0E52677408 106	323
will rm E64F8C6960 107	409
will rm AF03AF931E 107	15
will rm D775E6E824 107	143
will rm F5C6C4F9FE 107	32
will rm 99084B52AC 108	341
will rm DE50B7FAC0 108	308
will rm 9EAD0760E1 108	378
will rm 82C938DA7A 109	125
will rm 740C726E56 109	275
will rm 318B2E4BE8 109	374
will rm B9BFCC4824 109	477
will rm F71921008E 109	266
will rm 9FDA69C6E3 109	90
will rm A2616492AF 109	179
will rm 919343DD1D 110	356
will rm 571059F880 110	358
will rm 6F707DACE1 111	95
will rm 01C9BDA539 111	143
will rm 7D467F55B2 111	235
will rm 3272EBDE13 111	15
will rm 19E971FE13 111	152
will rm B63AE69C88 111	128
will rm 243F8AE72B 112	273
will rm D620B650E6 112	420
will rm BAF94712D0 112	22
will rm BBABAD3F3E 113	169
will rm DF8498A568 113	477
will rm 72F72E45BA 114	342
will rm 5E07506DCF 114	418
will rm 68FFE1A69A 114	441
will rm 676584DFE5 115	469
will rm B15F8AF334 115	180
will rm B90FD25604 115	320
will rm A972A1C1C2 117	446
will rm 510687696A 117	385
will rm 4758719EB0 117	201
will rm 89F073DE13 117	402
will rm 6B9D36A631 117	367
will rm 5BE045B001 118	218
will rm B8F59111AF 118	97
will rm C1647959CD 118	26
will rm 9196D2D17A 119	260
will rm 1B2F756C4F 119	161
will rm E9C9990E6D 120	228
will rm 8535418E1D 120	355
will rm ADA05B083E 120	309
will rm FEBAB9EFD6 120	357
will rm 1EF8CAF36E 120	416
will rm 710C724D39 121	247
will rm 5D4A422FF2 121	477
will rm 86C2E2794B 122	33
will rm 18409B0E11 122	356
will rm 283E16BA70 122	125
will rm 7AAB1EB592 123	149
will rm 95206716C1 123	226
will rm FCD48C5E22 123	280
will rm 0AC08CD9EA 123	75
will rm AAD08DB111 125	356
will rm 104361C4ED 125	312
will rm 1579C90433 125	435
will rm 4B939E0B92 126	290
will rm E53496B3D4 126	264
will rm 8A6BA3E922 126	270
will rm C0914D8CDB 127	112
will rm 0B0F2D70B1 127	433
will rm DD033F73F3 128	183
will rm 3D92BAE79F 128	335
will rm 02B69F6B40 128	122
will rm 63EEAD665A 128	276
will rm F86F8D921F 128	452
will rm 05BDA929A7 129	143
will rm 918C5F3750 129	351
will rm BCA4C9396E 129	203
will rm 6B50AABB87 129	461
will rm D03A03D69F 130	351
will rm E383B33D83 130	385
will rm D3F735AD07 131	280
will rm 5558AA2179 131	95
will rm 65C5E7012F 131	181
will rm 6C4236DC28 132	420
will rm 470AD64C49 132	453
will rm 9AA30C9F8A 132	276
will rm 4B631BB70D 132	90
will rm 70114DC468 132	36
will rm EA98AC70F6 133	302
will rm AF0F7A6D9E 134	230
will rm 2E95BD0DB9 134	460
will rm 8300E15154 135	201
will rm A6AF965FAD 135	131
will rm 70DF16BFA7 136	238
will rm 4048EC4E89 136	252
will rm DC61F41E30 137	96
will rm 3DF62896AD 137	419
will rm B1DE37FD58 137	155
will rm 093E08CDA6 137	85
will rm 35CCB5F639 138	222
will rm A2FCC19A17 138	276
will rm D6D5B0D833 139	62
will rm 874CADF21C 139	272
will rm C295EEA30B 139	70
will rm 5D4A790A69 139	278
will rm F635A43AE9 140	69
will rm BA873D7E36 140	478
will rm 654F0C472E 140	153
will rm 01B20E9ACF 141	250
will rm BA4581F8EB 141	252
will rm 4E768F3347 142	54
will rm 27A0673F6B 142	430
will rm 8F846D6511 143	281
will rm 802555307D 143	126
will rm 569AE29357 143	25
will rm 444255574C 143	30
will rm 29CE0F27A4 145	393
