        kata       rags	days-old
will rm 3FF55E35E8 28	320
will rm C0FBC3DA3D 28	335
will rm 3B1A1E3AF8 28	245
will rm D69F1CF832 28	110
will rm A5C26E6DE0 28	90
will rm 0D6D275B6B 28	424
will rm 1FA7DBE4B0 28	252
will rm 268EE2C3E6 28	478
will rm 47C6EB4469 28	398
will rm 0F82D03F28 28	222
will rm 4B7787BA46 28	218
will rm D34E54267B 28	107
will rm EE14F89DB8 28	161
will rm 2AD24ABAD4 28	475
will rm D0E66145CC 28	231
will rm 312A4612B7 28	302
will rm 8344E90862 28	106
will rm 75884057FA 28	156
will rm B161E25FBA 28	54
will rm 6624F94A22 28	108
will rm D9A0103A3F 28	453
will rm A7F450D3B7 28	117
will rm 22126F764F 28	307
will rm 70FE962AC6 28	270
will rm 04A91AA03F 28	219
will rm 73189D5D85 28	90
will rm 150354B3E8 28	391
will rm 352C771FFA 28	428
will rm ADE7A89CFA 28	231
will rm AC9DD03ADE 28	122
will rm ECAB2E1CDB 28	117
will rm 989FAF40C1 28	96
will rm 2E7484A1E5 28	434
will rm 7F9042807D 28	195
will rm 4F47D957F0 28	75
will rm 1D11C443ED 28	60
will rm 00CDFCBE70 28	258
will rm 3A290C0314 28	171
will rm 521E9D99E7 28	425
will rm 9E9379545B 28	159
will rm 6BAD9E53B8 28	66
will rm 5DD630D2D2 28	298
will rm 38B1DD737E 28	228
will rm 2179909C5E 28	60
will rm E4E424A452 28	475
will rm A2186EA16A 28	201
will rm 1E77A3122C 28	198
will rm 1E6AEBC577 28	122
will rm 8AD852956A 28	206
will rm 654AC4A5DC 28	161
will rm 9D77F9DB51 28	59
will rm 8FA55948FE 29	410
will rm F9E8CFCDAD 29	461
will rm 94B9FB360A 29	15
will rm 5F31C3AB86 29	450
will rm 88E64966F9 29	59
will rm B4DA750009 29	43
will rm 428BDACA31 29	208
will rm 99BE468FE2 29	28
will rm FB61C009B1 29	117
will rm 81F9129411 29	452
will rm 4E2892C7FB 29	195
will rm 6274D2931F 29	441
will rm 62A6FB3F6C 29	67
will rm 0D2B8AA747 29	350
will rm 25E6786576 29	58
will rm 7925901DC7 29	355
will rm 92CA691F69 29	344
will rm EDE6FCEB8D 29	90
will rm 84E9901DC5 29	32
will rm B323203625 29	295
will rm EEBA0708C5 29	430
will rm 688D4FFADD 29	106
will rm 20E7963626 29	312
will rm F1FBE5260F 29	122
will rm D09A9ACE7F 29	122
will rm D08160F50B 29	154
will rm D0A517C563 29	385
will rm 3C98F1F901 29	282
will rm 831421A3C6 29	344
will rm 02C3D09368 29	159
will rm 4865E3A692 29	232
will rm 69A7CE3E24 29	216
will rm 9102504448 29	460
will rm 665BD37002 29	92
will rm E0C2121086 29	44
will rm 325735F646 29	251
will rm 22C0BD243C 29	87
will rm FCC0033BDC 29	461
will rm B804E0B713 29	59
will rm C2FD4BCE63 29	131
will rm 15AA28319D 29	392
will rm 116CF155CB 29	254
will rm CB667980D0 29	419
will rm CBDEF4D55F 29	362
will rm E257CF918D 29	175
will rm 9808006A44 29	391
will rm 98207ABAC0 29	415
will rm 9F60E0B6FB 29	300
will rm 906079D706 29	379
will rm 8DF0400F28 29	59
will rm 3A034A5F7B 29	159
will rm 601F87E274 29	60
will rm 607E254EEE 29	193
will rm 608AD6CFBF 29	39
will rm 5777666B08 29	196
will rm 8E14D289FA 29	324
will rm E5F990B2DF 29	326
will rm B737B302F6 29	461
will rm BF36CB8FF3 29	358
will rm A40B1DCFC2 29	282
will rm E4466E24B2 29	630
will rm 0C2464A21B 29	138
will rm 2358B33667 29	222
will rm 56AED35A46 29	50
will rm FF6035C2A6 29	432
will rm 65FD6DCBDB 29	468
will rm 9DDFB0108C 29	204
will rm 7264A5319D 30	412
will rm 7257942A69 30	179
will rm 826A1406DF 30	398
will rm C66CC8852C 30	59
will rm C60C89AB35 30	298
will rm C5DA9C0667 30	340
will rm B42770209D 30	206
will rm 86838573C1 30	314
will rm 2B53AFB5DB 30	460
will rm 37A8B8A45C 30	302
will rm 8559C85330 30	122
will rm 99C1A9032D 30	312
will rm 501E25E346 30	258
will rm FB6EB550C0 30	393
will rm 2493EEB47B 30	370
will rm 80F2DCE48F 30	88
will rm 5BC24897F3 30	77
will rm 79B2AA5ACF 30	471
will rm 61EBB3FF49 30	85
will rm 9265B30F15 30	285
will rm 7CC04133F7 30	406
will rm 26BEA2EFAA 30	350
will rm 26BC7E009A 30	176
will rm 478C5789C3 30	233
will rm 84B0DB01E7 30	226
will rm D379AB0B1E 30	391
will rm 16F90F200E 30	419
will rm 037379348C 30	433
will rm F0D083250A 30	393
will rm F0DF54C08B 30	62
will rm C7C4144002 30	118
will rm CE8066386D 30	92
will rm F16326D192 30	361
will rm 6782DBDCEF 30	461
will rm 4DF2833ED9 30	246
will rm 831BEE7F11 30	294
will rm AAB62F4AF3 30	174
will rm E0B3F42DCC 30	120
will rm 32368A01E9 30	188
will rm BCC8343085 30	211
will rm 97400E9953 30	78
will rm CB0DE55D5A 30	425
will rm E266465A59 30	78
will rm EC7287F069 30	207
will rm CDAD1D3B39 30	362
will rm 0B07233561 30	272
will rm D4E8E039C3 30	87
will rm 289AE9D366 30	60
will rm 54898D8593 30	464
will rm EF093AA66A 30	120
will rm 57A7258BEE 30	267
will rm 8ECA2EB41D 30	301
will rm 2D69C0E2C6 30	179
will rm E5C2EC51DF 30	137
will rm 5D4AEEDD5E 30	318
will rm F53856F834 30	22
will rm 0C23C79CFA 30	339
will rm 060FAD1182 30	459
will rm 2F6CE3AE04 30	197
will rm FFB63F613F 30	122
will rm 8B7A5F4335 30	46
will rm A3CBBB3E86 30	428
will rm 72FE10B5FE 31	314
will rm 82E22FE59D 31	439
will rm 71FE57FFA4 31	263
will rm 5F3B56BA65 31	14
will rm 6FCD27F4CD 31	22
will rm 6E75A9E56E 31	391
will rm 8529ECD60E 31	91
will rm 85B970DC1A 31	169
will rm 997A8F7398 31	77
will rm 64701F3410 31	239
will rm FB6AC0314B 31	280
will rm E6631A490D 31	390
will rm C069381145 31	122
will rm 58FAC7B32F 31	323
will rm A5F4D97984 31	80
will rm A58A84C8C6 31	165
will rm 4EF5CADE9B 31	336
will rm 5B3BC851EA 31	277
will rm 1F2731B8EC 31	358
will rm 7C5E72252C 31	257
will rm 0F0E2E4D88 31	79
will rm 4B322DE4A9 31	405
will rm 16931CD596 31	400
will rm 5EEDBCDBBD 31	468
will rm EE60F65E4B 31	60
will rm 68E2B8D40F 31	18
will rm 96E7DB515F 31	122
will rm BA62396871 31	55
will rm 089C7A92AE 31	228
will rm AA6F1BC229 31	398
will rm B1C80C7F00 31	88
will rm 1C743C4F38 31	245
will rm 104F0CB3C5 31	175
will rm 8704AE28C4 31	127
will rm 9C2B44F2D4 31	354
will rm FC550C20DA 31	259
will rm AB97289CA4 31	379
will rm F47FD27BCB 31	345
will rm BCD33E87BD 31	394
will rm C2FD71979B 31	55
will rm 7B45C7E868 31	476
will rm 04D0C82300 31	79
will rm 1B8662FD1A 31	102
will rm 09CC32B1DE 31	90
will rm 114D06CC78 31	355
will rm 400C7FEE0A 31	459
will rm 357E585731 31	67
will rm 07AF3851F2 31	45
will rm 0716918769 31	307
will rm 46EC819D6A 31	362
will rm C338459A5A 31	92
will rm 0A315EBEC1 31	308
will rm F7F11A4568 31	454
will rm 4502F00786 31	243
will rm 28BFD6F49C 31	105
will rm 54567C6692 31	217
will rm 00126EDF23 31	431
will rm 6060A97ABF 31	293
will rm 6387E78C83 31	355
will rm 38EF81B29A 31	122
will rm B6C2BD34CA 31	19
will rm B549051EAD 31	289
will rm 2393EAE7C4 31	390
will rm 2F258D209B 31	153
will rm FFB0A762F2 31	41
will rm B0CA670878 31	116
will rm 135F63208A 31	303
will rm 65AC51B5D7 31	425
will rm 4C15413A06 32	378
will rm C5339D312D 32	378
will rm 5FB9C9FD9F 32	217
will rm FBD029A533 32	364
will rm AFD9EACE8C 32	319
will rm 5C09FF1137 32	115
will rm 4EACA114A9 32	219
will rm 1AFC2FE15D 32	369
will rm 4BCB0EE979 32	239
will rm 12E243BBEC 32	89
will rm 59A70C7D17 32	260
will rm 1602DEFB1A 32	210
will rm 2A4A4D6904 32	229
will rm 2A575862BC 32	59
will rm 2989C247F0 32	420
will rm 4D64838E51 32	287
will rm 3C6EFE5B58 32	324
will rm 1C5D33EE47 32	235
will rm A19ECD4BFF 32	410
will rm 87C793D1F4 32	294
will rm B2F24B5FC6 32	417
will rm BCCA2E5D5A 32	139
will rm 3543C06002 32	118
will rm 34E5172495 32	71
will rm AE7DE0D794 32	99
will rm B9AD7EE3B0 32	264
will rm 362D2FAD58 32	159
will rm 9F96D7AC6D 32	201
will rm 9FAA24BC03 32	229
will rm 53B3F56F0E 32	419
will rm DEA90F8388 32	435
will rm 288CE181D2 32	146
will rm 4FBC3D98CC 32	59
will rm 00AE83D7EA 32	33
will rm F30C3D3947 32	262
will rm 6B672AA09C 32	121
will rm B7B5E19BC0 32	23
will rm B601D0CE80 32	280
will rm 21D65BE4EE 32	326
will rm 239D1422F3 32	179
will rm 2386694C52 32	190
will rm 2C9E3D8B15 32	182
will rm 56305A28D6 32	147
will rm 17902F1D7F 32	60
will rm 134D496488 32	349
will rm C6CBCF78B0 33	245
will rm 30AC5D3C89 33	336
will rm 6E6E390600 33	420
will rm 9BF08E1857 33	252
will rm 9B4F7229E0 33	61
will rm BBB0F7FEBA 33	428
will rm FB39BCD9AA 33	307
will rm E64AB41557 33	427
will rm 2481DC60B6 33	30
will rm 243B5FEB30 33	358
will rm 74BD27C7D5 33	145
will rm 3F28B68667 33	185
will rm C0D6C38496 33	59
will rm 3BAEBA5239 33	114
will rm 6AA00236A3 33	59
will rm A59E631830 33	60
will rm 0D53608333 33	363
will rm 1FC260C98F 33	439
will rm D710313002 33	61
will rm 92A19267EE 33	78
will rm D12E3C4E44 33	106
will rm EE0785C6C1 33	197
will rm 76C7E9B2B0 33	350
will rm 20ACA05CC1 33	334
will rm 96E7DC6127 33	299
will rm CE6AE643CE 33	281
will rm 8726D3AC62 33	52
will rm A020F38691 33	234
will rm 186330B4EC 33	50
will rm 11D0728253 33	83
will rm 9728D9439B 33	355
will rm 6D26B40B54 33	112
will rm E2B017135A 33	276
will rm BD6CA0FE43 33	91
will rm 45DF0ECB4F 33	289
will rm 53CE9EE0D3 33	131
will rm DA7DC17E6E 33	44
will rm 90E7687B9D 33	248
will rm CC521AD865 33	68
will rm 54EDC2C4C0 33	90
will rm D55DE16201 33	64
will rm A83FA83308 33	329
will rm 57268DD903 33	461
will rm 57C3A423FE 33	35
will rm B73EC6BBC9 33	395
will rm 5D91AD1BEE 33	397
will rm 0E331BA767 33	293
will rm 1311BB3ECD 33	344
will rm 8FCCA721CB 34	441
will rm 8228A876B8 34	317
will rm F9D6030CB4 34	273
will rm 6E3B1739FC 34	139
will rm DBCFE36B4C 34	147
will rm 2464954113 34	405
will rm 6CFDF77A67 34	123
will rm 3F47DAC0F9 34	213
will rm 62054B05AB 34	355
will rm 0D65C5D251 34	430
will rm 80A67A873B 34	423
will rm 7D1A2BDC5B 34	436
will rm 7C50C13D06 34	20
will rm 26198387FE 34	250
will rm 47325BB53B 34	59
will rm 47D2F41133 34	136
will rm FDF6873984 34	421
will rm 4BE9C55276 34	59
will rm 20F51AF28C 34	200
will rm 968C873E7A 34	61
will rm 9654A71912 34	25
will rm EA4E17886B 34	141
will rm BA41DBF7DC 34	424
will rm 312579DD97 34	82
will rm D88792DBF7 34	55
will rm 938D1066B0 34	143
will rm B889C800A8 34	358
will rm F42239253D 34	289
will rm 7B099DEB85 34	378
will rm 096675900F 34	200
will rm 15985847FF 34	91
will rm 8935F9C218 34	85
will rm AC9E9AE0D7 34	199
will rm BDAC23D67A 34	59
will rm 4576EA77D4 34	474
will rm 1D766F1655 34	305
will rm 8CAC00B59D 34	263
will rm 196F25D21B 34	214
will rm 1966414C1E 34	180
will rm 0066CAC96C 34	18
will rm F3ED78D49D 34	232
will rm F3A9E463D6 34	128
will rm 52B6D0466F 34	378
will rm 57E28F0819 34	258
will rm 8EA3B4A0CF 34	229
will rm 2DBE6ECF94 34	361
will rm F8514FC18A 34	171
will rm A4D351CE83 34	424
will rm 0CB37CB4BB 34	70
will rm 271939CA09 34	194
will rm 2CA8A1ED98 34	132
will rm 2C2797994B 34	432
will rm FFB30DB581 34	49
will rm 9D0D530347 34	408
will rm 6EB6B46CC0 35	111
will rm 2B2E5A99E6 35	112
will rm 5074A78CA3 35	336
will rm 3FD7D4C2A3 35	95
will rm C0FAC00762 35	190
will rm 58242B653E 35	122
will rm 4EFF737037 35	84
will rm 62550A253F 35	117
will rm A98FA1E9A2 35	382
will rm F0581CECBC 35	329
will rm 68DE6CA2C8 35	314
will rm CE6DBECCB9 35	374
will rm 41BD1C09B1 35	110
will rm E879F63A97 35	465
will rm 026E4C9816 35	301
will rm D861407784 35	232
will rm 48F5ACF933 35	147
will rm 66D704A0E2 35	102
will rm 70D5027AD5 35	263
will rm AB27770D1E 35	263
will rm B88FA7AEC8 35	28
will rm C2AA5B0C7D 35	264
will rm 7B43FD1F43 35	88
will rm ADCBB0225B 35	205
will rm C3322AD58F 35	195
will rm 5386BBDC65 35	177
will rm 2E81ED5884 35	59
will rm 7F1D5BACC4 35	362
will rm D578A0B406 35	271
will rm EFB8B6AF28 35	328
will rm 3AFCEF99B8 35	59
will rm E32510B1F6 35	98
will rm 8E51B55056 35	434
will rm 38B58A5DEA 35	251
will rm 8A8AE9E71F 35	160
will rm 8A25EEC26C 35	350
will rm 17FB9D0129 35	197
will rm 8F6D1D0142 36	431
will rm 493B534968 36	18
will rm C65243F201 36	461
will rm 421F303E80 36	358
will rm 64E762C6AE 36	272
will rm 5072EAD774 36	433
will rm E6811CDD6D 36	431
will rm C074554059 36	127
will rm A52D1C19B9 36	406
will rm 4EC23E0727 36	16
will rm 80E8A4CDE4 36	380
will rm 256F1FF956 36	272
will rm 5B25985C43 36	474
will rm D1A061CF03 36	194
will rm 96A0855C9A 36	108
will rm 75A386EBC4 36	323
will rm 758CFDA02C 36	59
will rm B1E06B9AD8 36	341
will rm 93192E2375 36	372
will rm 100F0E03F5 36	119
will rm 87E4D0958C 36	63
will rm 32B2E306BD 36	435
will rm 701A1EA213 36	159
will rm 180F7D705A 36	100
will rm 3EFA04DD1D 36	238
will rm 45CBC34306 36	433
will rm 1483068BC0 36	194
will rm 8C53BE25A6 36	398
will rm EFD453D885 36	422
will rm 2D5E155DDE 36	282
will rm BFC0AD1297 36	341
will rm 382A74FF8C 36	189
will rm 21BC8BF5FB 36	251
will rm A493D2C7E9 36	308
will rm E43CB42ABC 36	362
will rm 1373696AD7 36	469
will rm 7E530755CD 36	264
will rm 8BD3DE4626 36	113
will rm 8B7360F4EA 36	89
will rm 493ECE9864 37	397
will rm 71E2B42AC3 37	77
will rm E9543006C7 37	60
will rm 5065D39E61 37	452
will rm 3D8BE88292 37	14
will rm D6E4FA7A12 37	273
will rm 5C3208D4B1 37	379
will rm 4E9EAD0EAE 37	369
will rm 62C7BE4977 37	358
will rm 47F9A73147 37	121
will rm 848455A7FC 37	206
will rm 4B64924897 37	14
will rm 2925396607 37	179
will rm BA365B55F8 37	202
